gene_id,name
920,ARHGAP42
921,ARHGAP4
922,ARHGAP5
923,ARHGAP6
924,ARHGAP8
925,ARHGAP9
926,ARHGDIA
927,ARHGDIB
928,ARHGDIG
929,ARHGEF10
930,ARHGEF10L
931,ARHGEF11
932,ARHGEF12
933,ARHGEF15
934,ARHGEF16
935,ARHGEF17
936,ARHGEF18
937,ARHGEF19
938,ARHGEF1
939,ARHGEF2
940,ARHGEF33
941,ARHGEF3
942,ARHGEF35
943,ARHGEF37
944,ARHGEF38
945,ARHGEF4
946,ARHGEF5
947,ARHGEF6
948,ARHGEF7
949,ARHGEF9
950,ARID1A
951,ARID1B
952,ARID2
953,ARID3A
954,ARID3B
955,ARID3C
956,ARID4A
957,ARID4B
958,ARID5A
959,ARID5B
960,ARIH1
961,ARIH2
962,ARL10
963,ARL11
964,ARL13A
965,ARL13B
966,ARL1
967,ARL14
968,ARL15
969,ARL16
970,ARL17A
971,ARL17B
972,ARL2
973,ARL2BP
974,ARL3
975,ARL4A
976,ARL4C
977,ARL4D
978,ARL5A
979,ARL5B
980,ARL5C
981,ARL6
982,ARL6IP1
983,ARL6IP4
984,ARL6IP5
985,ARL6IP6
986,ARL8A
987,ARL8B
988,ARL9
989,ARMC10
990,ARMC1
991,ARMC2
992,ARMC3
993,ARMC4
994,ARMC5
995,ARMC6
996,ARMC7
997,ARMC8
998,ARMC9
999,ARMCX1
1000,ARMCX2
1001,ARMCX3
1002,ARMCX5
1003,ARMCX6
1004,ARMS2
1005,ARNT2
1006,ARNT
1007,ARNTL2
1008,ARNTL
1009,ARPC1A
1010,ARPC1B
1011,ARPC2
1012,ARPC3
1013,ARPC4
1014,ARPC5
1015,ARPC5L
1016,ARPM1
1017,ARPP19
1018,ARPP21
1019,ARR3
1020,ARRB1
1021,ARRB2
1022,ARRDC1
1023,ARRDC2
1024,ARRDC3
1025,ARRDC4
1026,ARRDC5
1027,ARSA
1028,ARSB
1029,ARSD
1030,ARSE
1031,ARSF
1032,ARSG
1033,ARSH
1034,ARSI
